Status,City,State,Country,Classification,Open FDA,Product Type,Event ID,Recalling Firm,Address 1,Address 2,Postal Code,Voluntary Mandated,Initial Firm Notification,Distribution Pattern,Recall Number,Product Description,Product Quantity,Reason for Recall,Recall Initiation Date,Center Classification Date,Termination Date,Report Date,Code Info,More Code Info
Terminated,Brick,NJ,United States,Class III,{},Food,91502,Corim International Coffee Inc.,1112 Industrial Pkwy,N/A,08724-2508,Voluntary: Firm initiated,Letter,"The product was distributed to the following states: NJ, CA, NY, IL,",F-0388-2023,"Smart Sips, 24 ct single serve coffee pods (12.7 oz carton)","(Smart Sips Packets- 4,800)(Smart Sips Cups- 11,521)(Direct (Fundraiser)-576 cups)(Colonial Coffee- 1,536 cups)(CM Coffee- 21,252 Cups) (Intelligent","Corim Industries, 1112 Industrial Parkway, Brick, NJ 08724 is initiating a recall of Agglomerated Peanut Butter Hot Chocolate, Peanut Butter Cappuccino, 500lb sacks; single serve cups (15g), single serve packets (28g) because of undeclared peanut allergen.",20230113,20230302,20230308,20230308,"All lots with Best By dates between January 11, 2023 and January 11, 2025",
Terminated,Baltimore,MD,United States,Class I,{},Food,91653,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",2800 Wegworth Ln,N/A,21230-3300,Voluntary: Firm initiated,Press Release,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",F-0482-2023,"Naval Academy1845 Coffee, Gourmet Cheese & Fruit Plate, Net Wt. 6 Oz. Single Serving, Keep refrigerated",8 units,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",20230203,20231017,20231017,20230322,UPC Code : 813141021144,
Terminated,Eden Prairie,MN,United States,Class I,{},Food,92573,SunOpta Grains and Foods Inc.,7078 Shady Oak Rd,N/A,55344-3505,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Nationwide,F-1261-2023,"Cherries packaged under the following brands and sizes:   1.  Great Value Dark Sweet Cherries, Pitted.  Net Wt 16 oz (1 lb) 454g, UPC 	0 78742-11209 1.  Keep Frozen.  Distributed by:  Walmart Inc., Bentonville, AR  72716   2.  Good & Gather Dark Sweet Whole Pitted Cherries.  Net Wt 12 oz (340 g), UPC 0 85239-04816 0.  Keep Frozen.  Distributed By  Target Corporation Minneapolis, MN  55403   3.  Best Choice Superior Selections Pitted Red Tart Cherries, unsweetened.  Net Wt 12 oz (340 g), UPC 0 70038-65496 4.  Keep Frozen.  Proudly Distributed By:  Asociated Wholesale Grocers, Inc., Kansas City, Kansas  66106","5,908 cases",Fruit products have the potential to be contaminated with Listeria monocytogenes.,20230616,20230718,20240207,20230726,1.  Lot / Best By:  FED308962 / 03/30/2025   2.  Lot / Best By:  FED308862 / 03/29/2025   3.  Lot / Best By:  FED308861 / 03/29/2025,
Terminated,Seattle,WA,United States,Class II,{},Food,88387,"Full Tilt Ice Cream, LLC",9411 8th Ave S Ste 3A,N/A,98108-4903,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",distributed in WA.,F-0968-2021,"Huckleberry Chip, Full Tilt Ice Cream brand, packaged in 3 gallon tubs. No UPC.",50 tubs,The ice cream mix did not meet pasteurization specifications.,20210729,20210910,20220124,20210922,Product with a Julian date of 20621X and before. Tubs mark with the date of 7/26/21 and before,
Ongoing,Springdale,AR,United States,Class II,{},Food,94548,Rise Baking Company dba South Coast Baking,800 S 40th St,N/A,72762-4826,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","California, Ohio, Pennsylvania, Oregon, Florida, Illinois, North Carolina, Massachusetts, Wisconsin, Colorado, Louisiana, Texas, Missouri, Minnesota, Oklahoma, New York, Michigan, Indiana, Maryland, New Jersey and Georgia",F-1301-2024,"Panera Oatmeal Raisin with Berries Cookie, Net Wt. 41.25 lb (18.71kg), 220/3 oz cookie dough pucks/case","29,019 Cases (Total all products)",Potential Salmonella contamination,20240502,20240606,,20240612,4109N1 4110N1,
Terminated,El Paso,TX,United States,Class III,{},Food,91885,TIPPCON LLC,500 W Overland Ave Ste 300,N/A,79901-1086,Voluntary: Firm initiated,Telephone,Nationwide (USA).,F-0709-2023,"Perrona Hot Sauce  Original with Chiltepin Peppers 5 fl oz (148ml) UPC 75 03016 55507 4 packaged in a PET bottle, 12 bottles per case","8,230 cases (total)",Mold growth on the outside of the bottle,20230313,20230411,20240325,20230419,"Codes: 1.123622, 2.123622, 3.123622, 4.123722, 5.123722, 6.123722, 7.123822, 8.123822, 9.124422, 1.124422, 2.124522, 3.124522, 4.124522, 5.124622, 6.125122",
Terminated,Hillsboro,OR,United States,Class I,{},Food,92442,"Cascade International Foods, Inc",561 Se Oak St,N/A,97123-4298,Voluntary: Firm initiated,Telephone,distributed in CA and OR.,F-0984-2023,"Fresh Organic Freezer Strawberries Mexico with calyx (caps) removed, net wt. 18 lbs., packaged in a T60-800 Polyethylene Homopolymer picking tray. Product is imported and distributed in fresh condition by Cascade International Foods.","total 35,686 lbs.",Potential contamination with Hepatitis A.,20230525,20230609,20240103,20230621,"Lot codes:  030122-50029  030222-50029 030822-50029 030922-50029 031122-50029  The code Interpretation:  030122 (MMDDYY): Date code of when fruit was picked. 50029: Cascade's internal code for ranch identifying number.  Load Shipment Numbers (Load shipment number is a sequential chronological order and is made up of the Product Lot Numbers.  Load Shipment Number indicates the Cascade as the importer, number of the container imported into USA and year):  CIM 125-22 CIM 129-22 CIM 130-22 CIM 144-22 CIM 146-22 CIM 147-22",
Terminated,Baltimore,MD,United States,Class I,{},Food,91653,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",2800 Wegworth Ln,N/A,21230-3300,Voluntary: Firm initiated,Press Release,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",F-0501-2023,"Bistro To Go, Roast Beef & Horseradish Hoagie, Net Wt. 7 Oz. Single Serving, Keep refrigerated",824  units,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",20230203,20231017,20231017,20230322,UPC Code : 813141021380,
Terminated,Kent,WA,United States,Class II,{},Food,91798,Lemonland Food Corp,19039 62nd Ave S,N/A,98032,Voluntary: Firm initiated,E-Mail,Distributed in Washington,F-0653-2023,"Seasoned Pickled Radish distributed in un-labeled plastic containers 6oz, 8oz, 12oz, and 16oz.  Containers were then labeled at H-mart, G-mart, or M2M retail store.",6oz containers = 5.08 lb; 8oz containers = 7 lb; 12oz containers = 9.95 lb; 16oz containers = 27.78 lb.,"Seasoned Pickled Radish was recalled due to undeclared wheat, sesame, and Y5.",20230223,20230324,20230329,20230405,"Feb. 16, 2023 to Feb. 23, 2023.",
Terminated,Baltimore,MD,United States,Class I,{},Food,91653,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",2800 Wegworth Ln,N/A,21230-3300,Voluntary: Firm initiated,Press Release,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",F-0241-2024,"Orchard Bistro, Turkey & Cheddar Hoagie, Net Wt. 7.3 Oz. Single Serving, Keep refrigerated",18,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",20230203,20231017,20231017,20230322,UPC Code : 813141021373,
Terminated,Nof Ha-Galil,,Israel,Class I,{},Food,90105,ELITE CONFECTIONERY LTD,Nazareth-Ilit,"5, Gilbo'A",N/A,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed in the US nationwide,F-1245-2022,ELITE GRAPE GUM WITH SUGAR	UPC:815871015998	NET WT. 2.32 (66 g),unknown,Potential contamination with Salmonella,20220428,20220604,20221103,20220615,All lots,
Terminated,Baltimore,MD,United States,Class I,{},Food,91653,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",2800 Wegworth Ln,N/A,21230-3300,Voluntary: Firm initiated,Press Release,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",F-0250-2024,"Dietz & Watson, Turkey & Cheese Finger Sandwiches, Net Wt. 6.5 Oz. Single Serving, Keep refrigerated",500,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",20230203,20231017,20231017,20230322,UPC Code : 813141025753,
Terminated,Monterey,CA,United States,Class I,{},Food,89381,Dole Fresh Vegetables Inc,2959 Salinas Hwy,,93940-6400,Voluntary: Firm initiated,Telephone,"Canada: AB, BC, NB, ON, QC, Sk; United States: AL, AZ, CA, CO, CT, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, MI, MN, MO, MS, NC, ND, NE, NV, NY, OH, OK, OR, PA, SC, TN, TX, UT, VA, WA, WI",F-0777-2022,Dole 9.8 oz  Chopped Teriyaki Pineapple Kit   UPC: 0-71430-00100-4  SKU: 791  Dole 9.8 oz  Chopped Teriyaki Pineapple Kit / Teriyaki A L'ananas  UPC: ¿0-71430-00182-0  SKU 1014,"OH/CA Total Distributed Combined: 578,243 cases",Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,20220106,20220222,20220322,20220302,"Product codes beginning with W - Best by Dates of December 22, 2021 through January 9, 2022.",
Terminated,Phoenix,AZ,United States,Class II,{},Food,89865,"Suntree Snack Foods, LLC",4502 W Monterosa St,N/A,85031-2300,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","AL, AZ, CA, CO, GA, IA, IL, IN, KS MI, MN, NC, NJ, NY, OH OR, PA TX, VA, WI",F-0960-2022,"Good & Gather Dried Sweetened Strawberries.  Net Wt 4 oz (113g).  UPC 085239-182840  No Sulfites Added.  No Artificial Flavors.  No Synthetic Colors.  Distributed by Target Corporation, Minneapolis, MN  55403","3200 cases (38,400 packages)",Product contains undeclared Sulfites.,20220323,20220331,20230303,20220406,"Lot #86061 Best if Used By: 09/01/2022  Lot #88514 Best if Used By: 10/01/2022, 10/04/2022, 10/5/2022, 10/6/2022, 10/7/2022, 10/11/2022, 10/12/2022, 10/13/2022, 10/14/2022",
Terminated,Boise,ID,United States,Class I,{},Food,90293,Albertsons Companies LLC,250 E Park Center Blvd,,83726-0020,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","The store prepared products were available and sold in the following states:     Alaska, Arkansas, California, Colorado, Connecticut, Delaware, Hawaii, Idaho, Illinois, Indiana, Iowa, Louisiana, Maine, Maryland, Massachusetts, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Dakota, Oregon, Pennsylvania, Rhode Island, South Dakota, Texas, Utah, Vermont, Virginia, Washington, and Wyoming.",F-1332-2022,"Ready Meals PB & Trail Mix Snack.  Product were available for purchase at the following banners: Shaw's, Star Market. Packaged in clear plastic square bottom and lid.  Net wt. 7.6 oz.",Firm did not provide.,Potential Salmonella contamination.,20220521,20220621,20220719,20220629,"All Sell thru Dates up to and including May 24, 22.",
Terminated,Torrance,CA,United States,Class II,{},Food,93859,Mitsuwa Corporation,1815 W 213th St Ste 235,,90501-2825,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","U.S. distribution to the following: CA, NJ, IL, TX, HI  No foreign distribution.",F-0854-2024,"Ito-Shoten Seasoned Mushroom 200g/7.06 oz. Product of Japan Distributed by Mitsuwa Corporation Torrance, CA 90501",450 cases,Foreign manufacturer of recalled product listed on IA #99-37 due to having no filed scheduled process.,20231213,20240205,20240326,20240214,"Batch 1. 09/09/22, 2. 01/23/23, and 3. 5/8/23",
Terminated,Baltimore,MD,United States,Class I,{},Food,91653,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",2800 Wegworth Ln,N/A,21230-3300,Voluntary: Firm initiated,Press Release,"The recalled product was distributed to the following states: MD, PA, DE, NY, DC, NJ, NC, CT, SC, VA, MA .",F-0470-2023,"Bistro To Go, Chocolate Pudding Delight, Net Wt. 6.5 Oz. Single Serving, Keep refrigerated",186 units,"On 02/03/2023, FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine of Baltimore, MD is  initiating a recall of  various products sold from January 24, 2023 through January 30, 2023 because the products have the potential to be contaminated with Listeria monocytogenes .",20230203,20231017,20231017,20230322,UPC Code : 813141021205,
Terminated,Melville,NY,United States,Class III,{},Food,91640,XIUMIN LIN,536 Broadhollow Rd,N/A,11747-3647,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","NY, NC, FL, IN",F-0624-2023,Haiyue Food Nutritional Preserved Vegetable,55 boxes,Contains Cyclamate,20220829,20230317,20230317,20230329,2021/12/25 UPC:6921821000663,
Terminated,Zanesville,OH,United States,Class II,{},Food,87726,Michael Zakany LLC,601 Putnam Ave,N/A,43701-5504,Voluntary: Firm initiated,E-Mail,"Product is sold at local farmer's markets, 12 retail locations within Ohio, 1 distributor in Ohio, and online sales across the US.     Estimate on sales: 1,099 jars sold through websites, 800 sold through local fundraisers, 400 sold at retailers, 200 through distributor, 1,000 for samples at events, 60 jars held for retain samples/testing, 2,500 sold at craft fairs/farmer's markets.",F-0473-2021,"Jose Madrid Salsa - Strawberry Mild Salsa   13oz glass jars, 12 jars per case","6,659 jars",Undeclared anchovy allergen,20210414,20210430,20210602,20210505,Facility Code 601  Product Code 19  Batch Code 01  Serial Number 6011901 032924  Best By Date 03/26/20 - 03/29/24,
Terminated,Willernie,MN,United States,Class I,{},Food,88744,The Earl of Sandwiches,106 Wildwood Rd,,55090-7711,Voluntary: Firm initiated,E-Mail,"MN, UT, WA",F-0001-2022,"Earle of Sandwiches Mild Smoked Jalapeno Sub, Smoked Jalapeno Sausage and Peperjack Cheese on Parmasan Crusted French Bread.  Net Wt. 7oz (198g), UPC 97256 75671, Keep Refrigerated.  Earle of Sandwiches, Willernie, MN  55090",2776 units,Sandwiches may contain undeclared soy and egg.,20210916,20211001,20220421,20211013,Sandwiches Purchased before 9/15/2021,
Terminated,Boerne,TX,United States,Class II,{},Food,91669,"Texas Star Nut and Food Co., Inc.",206 Market Ave,N/A,78006-3003,Voluntary: Firm initiated,E-Mail,"PA, AL, CA, OK and OH",F-0385-2023,"Nature's Eats Cashew Crave Mix 8 oz. UPC 8-10087-30330-3, packaged in cello bags 12 packages per case",19800 Units,"Undeclared milk and soy. The milk and soy allergens are listed in the ""may contains"" statement, but are not included in the ""Contains"" statement.",20230207,20230227,20230404,20230301,MR154779,
Terminated,Louisville,KY,United States,Class II,{},Food,89748,Tova Industries Inc,2902 Blankenbaker Rd,N/A,40299-3841,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Amazon distribution center located in NM,F-0914-2022,"Carbquik Mug Cakes   Cinnamon Spice, Net Wt. 9 oz  1.5oz mug cake mix packaged in foil pouch  6 servings per pouch, 24 pouches per case",1700 cases,Undeclared Allergen- Milk,20220303,20220329,20220819,20220406,Lot 01212071B Product No. 14927 Best By 07/26/22,
Completed,New York,NY,United States,Class I,{},Food,93572,GLOBAL VEG CORP,20 W 55th St Fl 7,N/A,10019-5373,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","NJ, NY",F-0641-2024,"Aviator Dehydrated Tomato Halves, Net Wt. 4x2.27kg (5lbs)",837 cases,Contains undeclared sulfites,20231204,20231221,,20231227,060923/1,
Terminated,San Antonio,TX,United States,Class I,{},Food,85892,He Butt,646 S Flores St,N/A,78204-1219,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Retail stores throughout Texas,F-1008-2020,Hill Country Fare Citrus Punch Drink 1 GAL CONT. NET. 3.78L Contains 0% Juice UPC 4122081863,"29,132 bottles",Potential to contain undeclared milk,20200616,20200701,20200804,20200708,9/30/2020 and 10/1/2020,
Terminated,Idaho Falls,ID,United States,Class I,{},Food,88935,POTANDON PRODUCE LLC,1210 Pier View Dr,N/A,83402-4966,Voluntary: Firm initiated,E-Mail,distributed in MN and ND.,F-0183-2022,"Green Giant Fresh brand, Whole YELLOW Onions packaged in 2 lb. flexible mesh bags, UPC 60580600120-8. Green Giant Fresh brand, Whole YELLOW Onions packaged in 3 lb. flexible mesh bags, UPC 60580600123-9. Green Giant Fresh brand, Whole YELLOW Onions packaged in 5 lb. flexible mesh bags, UPC 60580600170-3.","Total 61,206 lbs or 359 cases (25/2 lb. pkg per case); 397 cases (16/3 lb. pkg per case); 484 cases (10/5 lb. pkg per case);",Salmonella Oranienburg.  Products are supplied by Keeler Family Farm.,20211025,20211118,20211208,20211124,"Lot # and Julian Date on bag tag of whole YELLOW onions in 2 lbs. bag:  42543-2 RA201 42600-3 RA208 42600-3 RA209 42542-2 RA201 42542-5 RA197 42542-5 RA202  Lot # and Julian Date on bag tag of whole YELLOW onions in 3 lbs. bag:  42543-2 RA201 42543-2 RA203 42543-2 RA204 42542-5 RA202  Lot # and Julian Date on bag tag of whole YELLOW onions in 5 lbs. bag:  42543-2 RA200 42543-2 RA201 42543-2 RA202 42543-2 RA203 42543-2 RA204 42542-2 RA203  ADDITIONAL LOTS: 049008, 119008, and 149007.",
Terminated,Tampa,FL,United States,Class I,{},Food,92583,SANTOS FROZEN FOODS,2746 W Main St,N/A,33607-3317,Voluntary: Firm initiated,Telephone,Domestic distribution only.,F-1239-2023,"Regular Deviled Crabs, 4oz",Approximately 520 cases/36ct/4oz,Undeclared Milk and Sesame Seeds,20230621,20230710,20240229,20230719,Lot Numbers that begin with 23 and end with 03 or 04 or 05.,
Terminated,Pittsburgh,PA,United States,Class II,{},Food,86176,Giant Eagle,267 Kappa Dr,N/A,15238-2817,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Product was produced and sold in Giant Eagle and Market District locations in IN, OH, MD, WV and PA.",F-1388-2020,"Cajun Style Chicken Meal PLU# 24658700000. Expiration date 8/5/2020.Ingredients: MEAL [CAJUN STYLE BOWTIE PASTA (BOWTIE PASTA (COOKED ENRICHED MACARONI PRODUCT [WATER, SEMOLINA, EGG WHITES, NIACIN, FERROUS SULFATE, THIAMIN MONONITRATE, RIBOFLAVIN, FOLIC ACID], SOYBEAN OIL, CONTAINS LESS THAN 2% OF CULTURED DEXTROSE, SALT), ALFREDO SAUCE [MILK (MILK, VITAMIN D3), HEAVY CREAM (CREAM, MILK), WATER, PARMESAN CHEESE (PASTEURIZED PART-SKIM MILK, CHEESE CULTURE, SALT, ENZYMES, POWDERED CELLULOSE [ANTI-CAKING AGENT]), CORNSTARCH, ROMANO CHEESE (PASTEURIZED SHEEP S MILK, CHEESE CULTURES, SALT, ENZYMES, POWDERED CELLULOSE [ANTI-CAKING AGENT]), CONTAINS 2% OR LESS OF ENRICHED WHEAT FLOUR (WHEAT FLOUR, MALTED BARLEY FLOUR, NIACIN, REDUCED IRON, THIAMINE MONONITRATE, RIBOFLAVIN, FOLIC ACID), SALT, WHITE PEPPER, GARLIC POWDER, LEMON PEEL], PEPPERS & ONIONS [RED BELL PEPPER, GREEN BELL PEPPER, YELLOW BELL PEPPER, YELLOW ONION, OIL BLEND (CANOLA OIL, EXTRA VIRGIN OLIVE OIL), SALT, BLACK PEPPER], CAJUN SEASONING (GARLIC, SPICES [INCLUDING PAPRIKA, OREGANO, RED PEPPER], SALT, ONION)), GRILLED CHICKEN (CHICKEN BREAST [BONELESS SKINLESS CHICKEN BREAST], WATER, ISOLATED SOY PROTEIN, SALT, SODIUM PHOSPHATES, BLACK PEPPER), PEPPERS & ONIONS [RED BELL PEPPER, GREEN BELL PEPPER, YELLOW BELL PEPPER, YELLOW ONION, OIL BLEND (CANOLA OIL, EXTRA VIRGIN OLIVE OIL), SALT, BLACK PEPPER], PARMESAN CHEESE (PASTEURIZED PART SKIM MILK, CHEESE CULTURES AND/OR RENNET, SALT, ENZYMES, STARCH, POWDERED CELLULOSE TO PREVENT CAKING, NATAMYCIN TO PROTECT FLAVOR), PARSLEY, CAJUN SEASONING (GARLIC, SPICES [INCLUDING PAPRIKA, OREGANO, RED PEPPER], SALT, ONION)]. Onions are cooked.",Unknown,Potential contamination with Salmonella Newport  in onions and prepared foods containing onions.,20200802,20200902,20210512,20200909,PLU#24658700000,
Ongoing,Green Bay,WI,United States,Class II,{},Food,94828,"Snapchill, LLC",1471 Partnership Rd,,54304-5685,Voluntary: Firm initiated,E-Mail,Nationwide.  Outside the US:  Canada,F-1502-2024,"Coffee + Non-Dairy Creamer + Sugar Canned Beverage packaged under the following brands and sizes:   1.  Coffee Hound Coffee Co Nitro with Sugar and Non-Dairy Creamer, 12 oz. UPC 7 83970-58494 6.   2. Euphoria Coffee Sweetened Latte, 12 oz. UPC 8 10149-37096 0.   3.  Kahawa 1893 Coffee Inc Safari Latte, 12 oz. UPC 8 50033-95735 8.   4.  Ludwig Coffee Macchiato, 12 oz. UPC 	8 60008-03483 0.","549,146 cans total",Potential under-processing.,20240617,20240723,,20240724,"Cans with Expiration dates between June 16, 2024 and April 16, 2025.",
Terminated,Edgewood,IA,United States,Class I,{},Food,93596,Valley View Candies dba,23086 Harvest Rd,,52042-7610,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Retail stores in IA,F-0702-2024,"Chocolate Walnut Fudge, 8oz, packaged in clear, plastic clamshell.",264 x 8oz containers,Undeclared egg,20231208,20240108,20240111,20240117,All lots,
Terminated,Burlington,VT,United States,Class II,{},Food,87723,Champlain Chocolate Company,750 Pine St,N/A,05401-4923,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","CA, CT, MA, NH, NY, RI, TX, VT, VA",F-0467-2021,"Organic Mr. Goodtime Bunny***NET WT 3.35 LBS (1.4kg)***INGREDIENTS: *Milk, *Dark, AND *WHITE CHOCOLATE (*SUGAR, *MILK POWDER, *COCOA BUTTER, *CHOCOLATE LIQUOR, *COCOA POWDER (PROCESSED WITH ALKALI), *SOYBEAN LECITHIN, *VANILLA EXTRACT, AND *VANILLA POWDER). CONTAINS MILK AND SOYBEAN. MAY CONTAIN TRACES OF PEANUTS, TREE NUTS, AND WHEAT. *ORGANIC.    Product is packaged in a clear plastic cellophane    UPC 769933054510",443 bunnies (total),Product potentially contains undeclared almonds.,20210414,20210428,20220525,20210505,Best By 11/20/21,
Terminated,New York,NY,United States,Class II,{},Food,91141,Betty Buzz LLC,381 Park Ave S,N/A,10016-8806,Voluntary: Firm initiated,E-Mail,Nationwide,F-0186-2023,Betty Buzz Sparkling Grapefruit - Non-alcoholic Beverage & Mixer Container Description:  4 x 9oz Bottles in Pack 24 units per case,"939 Cases/22,536 9oz Bottles",Beverage has off-odor,20221107,20221206,20231024,20221214,Lot GF8.2  Best by 05/26/2023 UPC Codes: Bottle: 8-50029394129/ 4-Pack: 8-50029394136,
Terminated,Golden,CO,United States,Class II,{},Food,85024,"Vitamin Cottage Natural Food Markets, Inc.",4403 Table Mountain Dr,N/A,80403-1636,Voluntary: Firm initiated,E-Mail,"157 Natural Grocers' stores in AR, AZ, CO, IA, ID, KS, LA, MN, MS, MT, NE, NV, NM, ND, OK, OR, TX, UT, WA, WY",F-0775-2020,"Natural Grocers Organic Extra Virgin Coconut Oil, packaged in glass jars with metal lids and a plastic shrink seal, 17.5 oz. (518 mL), UPC# 849327-000368, Vitamin Cottage Natural Foods Markets (dba Natural Grocers) Lakewood, CO 80228. 12 units (jars)/case in cardboard box.",4044 units / 337 cases,Product tested high for mold.,20200207,20200303,20200514,20200311,Batch/Lot Code: HBC-0919; Manufactured Date: 09/01/2019; Expiration Date: 08/31/2021,
Terminated,Caldwell,ID,United States,Class II,{},Food,92135,CREEKSIDE MALLOW LLC,510 Main St,N/A,83605-3740,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit",Distributed in Washington.,F-0751-2023,"Creekside Mallow Chocolate Chip Mint Marshmallows, packed in a Stand Up Flexible Pouch (Bag), Net wt. 3.9oz. UPC 7 09951 63271 0. Manufactured by Creekside Mallow LLC Caldwell, ID. www.creeksidemallow.com.  The label declares: INGREDIENTS: CORN SYRUP ***SUGAR, WATER, CHOCOLATE CHIPS (SUGAR, CHOCOLATE LIQUOR, COCOA BUTTER, BUTTERFAT, SOY LECITHIN, NATURAL FLAVOR)***CONTAINS: SOY.",2800 packages,"Butterfat is declared in the Ingredients Statement, but MILK is not declared in the Contains statement.",20230413,20230421,20230905,20230503,"All codes and dates (DDMMYY).  New product NOT subject to recall will have the statement ""Contains: MILK, SOY"".",
Terminated,Columbus,OH,United States,Class III,{},Food,85855,"Abbott Nutrition, Division of Abbott Laboratories",585 Cleveland Ave,N/A,43215-1755,Voluntary: Firm initiated,"Two or more of the following: Email, Fax, Letter, Press Release, Telephone, Visit","Products was distributed to the following states: CT, MD, NJ, NY, & PA.",F-1021-2020,"Similac Pro-Advance Infant Formula with Iron, Milk-Based, Ready to Feed, 32 FL OZ (1 QT)",111 total cases.,Water filled bottles labeled as Similac Pro-Advance.,20200611,20200710,20201106,20200722,No lot or expiration date as bottles were not intended for distribution.      Batch Numbers: BW3520316 (List Number 64248) and BW0970914 (List Number 66611).,
